respID,qID,altID,obsID,profileID,type,price,freshness,image
7,2,3,50,98,Honeycrisp,3.5,Poor,honeycrisp.jpg
7,3,1,51,24,Pink Lady,3,Excellent,pinkLady.jpg
7,3,2,51,44,Pink Lady,1.5,Average,pinkLady.jpg
7,3,3,51,92,Gala,3,Poor,gala.jpg
7,4,1,52,79,Pink Lady,1.5,Poor,pinkLady.jpg
7,4,2,52,89,Pink Lady,2.5,Poor,pinkLady.jpg
7,4,3,52,31,Fuji,4,Excellent,fuji.jpg
7,5,1,53,16,Fuji,2.5,Excellent,fuji.jpg
7,5,2,53,6,Fuji,1.5,Excellent,fuji.jpg
7,5,3,53,13,Honeycrisp,2,Excellent,honeycrisp.jpg
7,6,1,54,104,Pink Lady,4,Poor,pinkLady.jpg
7,6,2,54,70,Red Delicious,4,Average,redDelicious.jpg
7,6,3,54,12,Gala,2,Excellent,gala.jpg
7,7,1,55,30,Red Delicious,3.5,Excellent,redDelicious.jpg
7,7,2,55,67,Gala,4,Average,gala.jpg
7,7,3,55,85,Red Delicious,2,Poor,redDelicious.jpg
7,8,1,56,93,Honeycrisp,3,Poor,honeycrisp.jpg
7,8,2,56,69,Pink Lady,4,Average,pinkLady.jpg
7,8,3,56,88,Honeycrisp,2.5,Poor,honeycrisp.jpg
8,1,1,57,83,Honeycrisp,2,Poor,honeycrisp.jpg
8,1,2,57,43,Honeycrisp,1.5,Average,honeycrisp.jpg
8,1,3,57,75,Red Delicious,1,Poor,redDelicious.jpg
8,2,1,58,35,Red Delicious,4,Excellent,redDelicious.jpg
8,2,2,58,54,Pink Lady,2.5,Average,pinkLady.jpg
8,2,3,58,18,Honeycrisp,2.5,Excellent,honeycrisp.jpg
8,3,1,59,81,Fuji,2,Poor,fuji.jpg
8,3,2,59,19,Pink Lady,2.5,Excellent,pinkLady.jpg
8,3,3,59,75,Red Delicious,1,Poor,redDelicious.jpg
8,4,1,60,59,Pink Lady,3,Average,pinkLady.jpg
8,4,2,60,50,Red Delicious,2,Average,redDelicious.jpg
8,4,3,60,45,Red Delicious,1.5,Average,redDelicious.jpg
8,5,1,61,33,Honeycrisp,4,Excellent,honeycrisp.jpg
8,5,2,61,56,Fuji,3,Average,fuji.jpg
8,5,3,61,71,Fuji,1,Poor,fuji.jpg
8,6,1,62,84,Pink Lady,2,Poor,pinkLady.jpg
8,6,2,62,70,Red Delicious,4,Average,redDelicious.jpg
8,6,3,62,77,Gala,1.5,Poor,gala.jpg
8,7,1,63,54,Pink Lady,2.5,Average,pinkLady.jpg
8,7,2,63,7,Gala,1.5,Excellent,gala.jpg
8,7,3,63,42,Gala,1.5,Average,gala.jpg
8,8,1,64,4,Pink Lady,1,Excellent,pinkLady.jpg
8,8,2,64,36,Fuji,1,Average,fuji.jpg
8,8,3,64,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
9,1,1,65,44,Pink Lady,1.5,Average,pinkLady.jpg
9,1,2,65,27,Gala,3.5,Excellent,gala.jpg
9,1,3,65,43,Honeycrisp,1.5,Average,honeycrisp.jpg
9,2,1,66,7,Gala,1.5,Excellent,gala.jpg
9,2,2,66,25,Red Delicious,3,Excellent,redDelicious.jpg
9,2,3,66,20,Red Delicious,2.5,Excellent,redDelicious.jpg
9,3,1,67,20,Red Delicious,2.5,Excellent,redDelicious.jpg
9,3,2,67,91,Fuji,3,Poor,fuji.jpg
9,3,3,67,78,Honeycrisp,1.5,Poor,honeycrisp.jpg
9,4,1,68,54,Pink Lady,2.5,Average,pinkLady.jpg
9,4,2,68,24,Pink Lady,3,Excellent,pinkLady.jpg
9,4,3,68,83,Honeycrisp,2,Poor,honeycrisp.jpg
9,5,1,69,72,Gala,1,Poor,gala.jpg
9,5,2,69,62,Gala,3.5,Average,gala.jpg
9,5,3,69,51,Fuji,2.5,Average,fuji.jpg
9,6,1,70,2,Gala,1,Excellent,gala.jpg
9,6,2,70,31,Fuji,4,Excellent,fuji.jpg
9,6,3,70,50,Red Delicious,2,Average,redDelicious.jpg
9,7,1,71,7,Gala,1.5,Excellent,gala.jpg
9,7,2,71,97,Gala,3.5,Poor,gala.jpg
9,7,3,71,81,Fuji,2,Poor,fuji.jpg
9,8,1,72,47,Gala,2,Average,gala.jpg
9,8,2,72,22,Gala,3,Excellent,gala.jpg
9,8,3,72,24,Pink Lady,3,Excellent,pinkLady.jpg
10,1,1,73,76,Fuji,1.5,Poor,fuji.jpg
10,1,2,73,62,Gala,3.5,Average,gala.jpg
10,1,3,73,13,Honeycrisp,2,Excellent,honeycrisp.jpg
10,2,1,74,15,Red Delicious,2,Excellent,redDelicious.jpg
10,2,2,74,66,Fuji,4,Average,fuji.jpg
10,2,3,74,87,Gala,2.5,Poor,gala.jpg
10,3,1,75,43,Honeycrisp,1.5,Average,honeycrisp.jpg
10,3,2,75,27,Gala,3.5,Excellent,gala.jpg
10,3,3,75,96,Fuji,3.5,Poor,fuji.jpg
10,4,1,76,4,Pink Lady,1,Excellent,pinkLady.jpg
10,4,2,76,1,Fuji,1,Excellent,fuji.jpg
10,4,3,76,30,Red Delicious,3.5,Excellent,redDelicious.jpg
10,5,1,77,12,Gala,2,Excellent,gala.jpg
10,5,2,77,82,Gala,2,Poor,gala.jpg
10,5,3,77,49,Pink Lady,2,Average,pinkLady.jpg
10,6,1,78,21,Fuji,3,Excellent,fuji.jpg
10,6,2,78,89,Pink Lady,2.5,Poor,pinkLady.jpg
10,6,3,78,51,Fuji,2.5,Average,fuji.jpg
10,7,1,79,16,Fuji,2.5,Excellent,fuji.jpg
10,7,2,79,39,Pink Lady,1,Average,pinkLady.jpg
10,7,3,79,30,Red Delicious,3.5,Excellent,redDelicious.jpg
10,8,1,80,100,Red Delicious,3.5,Poor,redDelicious.jpg
10,8,2,80,103,Honeycrisp,4,Poor,honeycrisp.jpg
10,8,3,80,105,Red Delicious,4,Poor,redDelicious.jpg
11,1,1,81,40,Red Delicious,1,Average,redDelicious.jpg
11,1,2,81,17,Gala,2.5,Excellent,gala.jpg
11,1,3,81,52,Gala,2.5,Average,gala.jpg
11,2,1,82,34,Pink Lady,4,Excellent,pinkLady.jpg
11,2,2,82,9,Pink Lady,1.5,Excellent,pinkLady.jpg
11,2,3,82,99,Pink Lady,3.5,Poor,pinkLady.jpg
11,3,1,83,58,Honeycrisp,3,Average,honeycrisp.jpg
11,3,2,83,22,Gala,3,Excellent,gala.jpg
11,3,3,83,77,Gala,1.5,Poor,gala.jpg
11,4,1,84,97,Gala,3.5,Poor,gala.jpg
11,4,2,84,23,Honeycrisp,3,Excellent,honeycrisp.jpg
11,4,3,84,64,Pink Lady,3.5,Average,pinkLady.jpg
11,5,1,85,12,Gala,2,Excellent,gala.jpg
11,5,2,85,24,Pink Lady,3,Excellent,pinkLady.jpg
11,5,3,85,80,Red Delicious,1.5,Poor,redDelicious.jpg
11,6,1,86,98,Honeycrisp,3.5,Poor,honeycrisp.jpg
11,6,2,86,14,Pink Lady,2,Excellent,pinkLady.jpg
11,6,3,86,33,Honeycrisp,4,Excellent,honeycrisp.jpg
11,7,1,87,3,Honeycrisp,1,Excellent,honeycrisp.jpg
11,7,2,87,23,Honeycrisp,3,Excellent,honeycrisp.jpg
11,7,3,87,105,Red Delicious,4,Poor,redDelicious.jpg
11,8,1,88,86,Fuji,2.5,Poor,fuji.jpg
11,8,2,88,36,Fuji,1,Average,fuji.jpg
11,8,3,88,73,Honeycrisp,1,Poor,honeycrisp.jpg
12,1,1,89,34,Pink Lady,4,Excellent,pinkLady.jpg
12,1,2,89,95,Red Delicious,3,Poor,redDelicious.jpg
12,1,3,89,93,Honeycrisp,3,Poor,honeycrisp.jpg
12,2,1,90,35,Red Delicious,4,Excellent,redDelicious.jpg
12,2,2,90,103,Honeycrisp,4,Poor,honeycrisp.jpg
12,2,3,90,80,Red Delicious,1.5,Poor,redDelicious.jpg
12,3,1,91,93,Honeycrisp,3,Poor,honeycrisp.jpg
12,3,2,91,26,Fuji,3.5,Excellent,fuji.jpg
12,3,3,91,105,Red Delicious,4,Poor,redDelicious.jpg
12,4,1,92,74,Pink Lady,1,Poor,pinkLady.jpg
12,4,2,92,65,Red Delicious,3.5,Average,redDelicious.jpg
12,4,3,92,27,Gala,3.5,Excellent,gala.jpg
12,5,1,93,2,Gala,1,Excellent,gala.jpg
12,5,2,93,22,Gala,3,Excellent,gala.jpg
12,5,3,93,56,Fuji,3,Average,fuji.jpg
12,6,1,94,5,Red Delicious,1,Excellent,redDelicious.jpg
12,6,2,94,49,Pink Lady,2,Average,pinkLady.jpg
12,6,3,94,81,Fuji,2,Poor,fuji.jpg
12,7,1,95,69,Pink Lady,4,Average,pinkLady.jpg
12,7,2,95,54,Pink Lady,2.5,Average,pinkLady.jpg
12,7,3,95,102,Gala,4,Poor,gala.jpg
12,8,1,96,24,Pink Lady,3,Excellent,pinkLady.jpg
12,8,2,96,53,Honeycrisp,2.5,Average,honeycrisp.jpg
12,8,3,96,77,Gala,1.5,Poor,gala.jpg
13,1,1,97,77,Gala,1.5,Poor,gala.jpg
13,1,2,97,80,Red Delicious,1.5,Poor,redDelicious.jpg
13,1,3,97,79,Pink Lady,1.5,Poor,pinkLady.jpg
13,2,1,98,90,Red Delicious,2.5,Poor,redDelicious.jpg
13,2,2,98,105,Red Delicious,4,Poor,redDelicious.jpg
13,2,3,98,17,Gala,2.5,Excellent,gala.jpg
13,3,1,99,103,Honeycrisp,4,Poor,honeycrisp.jpg
13,3,2,99,44,Pink Lady,1.5,Average,pinkLady.jpg
13,3,3,99,59,Pink Lady,3,Average,pinkLady.jpg
13,4,1,100,37,Gala,1,Average,gala.jpg
13,4,2,100,102,Gala,4,Poor,gala.jpg
13,4,3,100,17,Gala,2.5,Excellent,gala.jpg
13,5,1,101,23,Honeycrisp,3,Excellent,honeycrisp.jpg
13,5,2,101,13,Honeycrisp,2,Excellent,honeycrisp.jpg
13,5,3,101,42,Gala,1.5,Average,gala.jpg
13,6,1,102,61,Fuji,3.5,Average,fuji.jpg
13,6,2,102,17,Gala,2.5,Excellent,gala.jpg
13,6,3,102,64,Pink Lady,3.5,Average,pinkLady.jpg
13,7,1,103,36,Fuji,1,Average,fuji.jpg
13,7,2,103,6,Fuji,1.5,Excellent,fuji.jpg
13,7,3,103,85,Red Delicious,2,Poor,redDelicious.jpg
13,8,1,104,39,Pink Lady,1,Average,pinkLady.jpg
13,8,2,104,100,Red Delicious,3.5,Poor,redDelicious.jpg
13,8,3,104,99,Pink Lady,3.5,Poor,pinkLady.jpg
14,1,1,105,60,Red Delicious,3,Average,redDelicious.jpg
14,1,2,105,94,Pink Lady,3,Poor,pinkLady.jpg
14,1,3,105,50,Red Delicious,2,Average,redDelicious.jpg
14,2,1,106,65,Red Delicious,3.5,Average,redDelicious.jpg
14,2,2,106,17,Gala,2.5,Excellent,gala.jpg
14,2,3,106,30,Red Delicious,3.5,Excellent,redDelicious.jpg
14,3,1,107,81,Fuji,2,Poor,fuji.jpg
14,3,2,107,46,Fuji,2,Average,fuji.jpg
14,3,3,107,97,Gala,3.5,Poor,gala.jpg
14,4,1,108,99,Pink Lady,3.5,Poor,pinkLady.jpg
14,4,2,108,52,Gala,2.5,Average,gala.jpg
14,4,3,108,94,Pink Lady,3,Poor,pinkLady.jpg
14,5,1,109,71,Fuji,1,Poor,fuji.jpg
14,5,2,109,31,Fuji,4,Excellent,fuji.jpg
14,5,3,109,13,Honeycrisp,2,Excellent,honeycrisp.jpg
14,6,1,110,14,Pink Lady,2,Excellent,pinkLady.jpg
14,6,2,110,67,Gala,4,Average,gala.jpg
14,6,3,110,83,Honeycrisp,2,Poor,honeycrisp.jpg
14,7,1,111,102,Gala,4,Poor,gala.jpg
14,7,2,111,69,Pink Lady,4,Average,pinkLady.jpg
14,7,3,111,75,Red Delicious,1,Poor,redDelicious.jpg
14,8,1,112,49,Pink Lady,2,Average,pinkLady.jpg
14,8,2,112,16,Fuji,2.5,Excellent,fuji.jpg
14,8,3,112,72,Gala,1,Poor,gala.jpg
15,1,1,113,91,Fuji,3,Poor,fuji.jpg
15,1,2,113,34,Pink Lady,4,Excellent,pinkLady.jpg
15,1,3,113,64,Pink Lady,3.5,Average,pinkLady.jpg
15,2,1,114,92,Gala,3,Poor,gala.jpg
15,2,2,114,85,Red Delicious,2,Poor,redDelicious.jpg
15,2,3,114,97,Gala,3.5,Poor,gala.jpg
15,3,1,115,75,Red Delicious,1,Poor,redDelicious.jpg
15,3,2,115,65,Red Delicious,3.5,Average,redDelicious.jpg
15,3,3,115,62,Gala,3.5,Average,gala.jpg
15,4,1,116,65,Red Delicious,3.5,Average,redDelicious.jpg
15,4,2,116,73,Honeycrisp,1,Poor,honeycrisp.jpg
15,4,3,116,18,Honeycrisp,2.5,Excellent,honeycrisp.jpg
15,5,1,117,60,Red Delicious,3,Average,redDelicious.jpg
15,5,2,117,59,Pink Lady,3,Average,pinkLady.jpg
15,5,3,117,42,Gala,1.5,Average,gala.jpg
15,6,1,118,24,Pink Lady,3,Excellent,pinkLady.jpg
15,6,2,118,61,Fuji,3.5,Average,fuji.jpg
15,6,3,118,23,Honeycrisp,3,Excellent,honeycrisp.jpg
15,7,1,119,84,Pink Lady,2,Poor,pinkLady.jpg
15,7,2,119,53,Honeycrisp,2.5,Average,honeycrisp.jpg
15,7,3,119,15,Red Delicious,2,Excellent,redDelicious.jpg
15,8,1,120,54,Pink Lady,2.5,Average,pinkLady.jpg
15,8,2,120,44,Pink Lady,1.5,Average,pinkLady.jpg
15,8,3,120,29,Pink Lady,3.5,Excellent,pinkLady.jpg
16,1,1,121,88,Honeycrisp,2.5,Poor,honeycrisp.jpg
16,1,2,121,94,Pink Lady,3,Poor,pinkLady.jpg
16,1,3,121,6,Fuji,1.5,Excellent,fuji.jpg
16,2,1,122,47,Gala,2,Average,gala.jpg
16,2,2,122,64,Pink Lady,3.5,Average,pinkLady.jpg
16,2,3,122,62,Gala,3.5,Average,gala.jpg
16,3,1,123,13,Honeycrisp,2,Excellent,honeycrisp.jpg
16,3,2,123,44,Pink Lady,1.5,Average,pinkLady.jpg
16,3,3,123,8,Honeycrisp,1.5,Excellent,honeycrisp.jpg
16,4,1,124,19,Pink Lady,2.5,Excellent,pinkLady.jpg
16,4,2,124,5,Red Delicious,1,Excellent,redDelicious.jpg
16,4,3,124,70,Red Delicious,4,Average,redDelicious.jpg
16,5,1,125,77,Gala,1.5,Poor,gala.jpg
16,5,2,125,6,Fuji,1.5,Excellent,fuji.jpg
16,5,3,125,104,Pink Lady,4,Poor,pinkLady.jpg
16,6,1,126,34,Pink Lady,4,Excellent,pinkLady.jpg
16,6,2,126,78,Honeycrisp,1.5,Poor,honeycrisp.jpg
16,6,3,126,62,Gala,3.5,Average,gala.jpg
16,7,1,127,99,Pink Lady,3.5,Poor,pinkLady.jpg
16,7,2,127,59,Pink Lady,3,Average,pinkLady.jpg
16,7,3,127,73,Honeycrisp,1,Poor,honeycrisp.jpg
16,8,1,128,77,Gala,1.5,Poor,gala.jpg
16,8,2,128,75,Red Delicious,1,Poor,redDelicious.jpg
16,8,3,128,81,Fuji,2,Poor,fuji.jpg
17,1,1,129,38,Honeycrisp,1,Average,honeycrisp.jpg
17,1,2,129,21,Fuji,3,Excellent,fuji.jpg
17,1,3,129,44,Pink Lady,1.5,Average,pinkLady.jpg
17,2,1,130,87,Gala,2.5,Poor,gala.jpg
17,2,2,130,24,Pink Lady,3,Excellent,pinkLady.jpg
17,2,3,130,90,Red Delicious,2.5,Poor,redDelicious.jpg
17,3,1,131,81,Fuji,2,Poor,fuji.jpg
17,3,2,131,71,Fuji,1,Poor,fuji.jpg
17,3,3,131,53,Honeycrisp,2.5,Average,honeycrisp.jpg
17,4,1,132,6,Fuji,1.5,Excellent,fuji.jpg
17,4,2,132,21,Fuji,3,Excellent,fuji.jpg
17,4,3,132,78,Honeycrisp,1.5,Poor,honeycrisp.jpg
17,5,1,133,95,Red Delicious,3,Poor,redDelicious.jpg
17,5,2,133,89,Pink Lady,2.5,Poor,pinkLady.jpg
17,5,3,133,34,Pink Lady,4,Excellent,pinkLady.jpg
17,6,1,134,16,Fuji,2.5,Excellent,fuji.jpg
17,6,2,134,28,Honeycrisp,3.5,Excellent,honeycrisp.jpg
17,6,3,134,90,Red Delicious,2.5,Poor,redDelicious.jpg
17,7,1,135,24,Pink Lady,3,Excellent,pinkLady.jpg
17,7,2,135,26,Fuji,3.5,Excellent,fuji.jpg
17,7,3,135,105,Red Delicious,4,Poor,redDelicious.jpg
17,8,1,136,20,Red Delicious,2.5,Excellent,redDelicious.jpg
17,8,2,136,103,Honeycrisp,4,Poor,honeycrisp.jpg
17,8,3,136,39,Pink Lady,1,Average,pinkLady.jpg
18,1,1,137,92,Gala,3,Poor,gala.jpg
18,1,2,137,57,Gala,3,Average,gala.jpg
18,1,3,137,100,Red Delicious,3.5,Poor,redDelicious.jpg
18,2,1,138,29,Pink Lady,3.5,Excellent,pinkLady.jpg
18,2,2,138,85,Red Delicious,2,Poor,redDelicious.jpg
18,2,3,138,40,Red Delicious,1,Average,redDelicious.jpg
18,3,1,139,105,Red Delicious,4,Poor,redDelicious.jpg
18,3,2,139,90,Red Delicious,2.5,Poor,redDelicious.jpg
18,3,3,139,11,Fuji,2,Excellent,fuji.jpg
18,4,1,140,63,Honeycrisp,3.5,Average,honeycrisp.jpg
18,4,2,140,28,Honeycrisp,3.5,Excellent,honeycrisp.jpg
18,4,3,140,45,Red Delicious,1.5,Average,redDelicious.jpg
18,5,1,141,25,Red Delicious,3,Excellent,redDelicious.jpg
18,5,2,141,20,Red Delicious,2.5,Excellent,redDelicious.jpg
18,5,3,141,103,Honeycrisp,4,Poor,honeycrisp.jpg
18,6,1,142,71,Fuji,1,Poor,fuji.jpg
18,6,2,142,105,Red Delicious,4,Poor,redDelicious.jpg
18,6,3,142,96,Fuji,3.5,Poor,fuji.jpg
18,7,1,143,6,Fuji,1.5,Excellent,fuji.jpg
18,7,2,143,98,Honeycrisp,3.5,Poor,honeycrisp.jpg
18,7,3,143,25,Red Delicious,3,Excellent,redDelicious.jpg
18,8,1,144,33,Honeycrisp,4,Excellent,honeycrisp.jpg
18,8,2,144,102,Gala,4,Poor,gala.jpg
