"type","price","freshness","image","respID","qID","altID","obsID"
"Fuji",4,"Average","fuji.jpg",15,1,2,43
"Red Delicious",2,"Poor","redDelicious.jpg",15,1,3,43
"Red Delicious",3,"Poor","redDelicious.jpg",15,2,1,44
"Red Delicious",3.5,"Excellent","redDelicious.jpg",15,2,2,44
"Pink Lady",2.5,"Poor","pinkLady.jpg",15,2,3,44
"Gala",2,"Average","gala.jpg",15,3,1,45
"Pink Lady",1,"Excellent","pinkLady.jpg",15,3,2,45
"Pink Lady",1,"Average","pinkLady.jpg",15,3,3,45
"Pink Lady",2.5,"Excellent","pinkLady.jpg",16,1,1,46
"Fuji",1.5,"Average","fuji.jpg",16,1,2,46
"Pink Lady",3,"Poor","pinkLady.jpg",16,1,3,46
"Fuji",2,"Excellent","fuji.jpg",16,2,1,47
"Gala",3,"Average","gala.jpg",16,2,2,47
"Fuji",1,"Average","fuji.jpg",16,2,3,47
"Red Delicious",3,"Average","redDelicious.jpg",16,3,1,48
"Red Delicious",2.5,"Excellent","redDelicious.jpg",16,3,2,48
"Fuji",3,"Average","fuji.jpg",16,3,3,48
"Pink Lady",1,"Average","pinkLady.jpg",17,1,1,49
"Red Delicious",3.5,"Poor","redDelicious.jpg",17,1,2,49
"Gala",1.5,"Excellent","gala.jpg",17,1,3,49
"Pink Lady",3,"Poor","pinkLady.jpg",17,2,1,50
"Red Delicious",2,"Average","redDelicious.jpg",17,2,2,50
"Gala",4,"Excellent","gala.jpg",17,2,3,50
"Honeycrisp",3.5,"Excellent","honeycrisp.jpg",17,3,1,51
"Fuji",3.5,"Excellent","fuji.jpg",17,3,2,51
"Red Delicious",1,"Poor","redDelicious.jpg",17,3,3,51
"Pink Lady",3.5,"Average","pinkLady.jpg",18,1,1,52
"Red Delicious",1.5,"Poor","redDelicious.jpg",18,1,2,52
"Red Delicious",2.5,"Excellent","redDelicious.jpg",18,1,3,52
"Red Delicious",2.5,"Excellent","redDelicious.jpg",18,2,1,53
"Fuji",4,"Excellent","fuji.jpg",18,2,2,53
"Honeycrisp",1.5,"Average","honeycrisp.jpg",18,2,3,53
"Gala",1,"Poor","gala.jpg",18,3,1,54
"Pink Lady",2,"Average","pinkLady.jpg",18,3,2,54
"Red Delicious",2,"Poor","redDelicious.jpg",18,3,3,54
"Red Delicious",3.5,"Excellent","redDelicious.jpg",19,1,1,55
"Red Delicious",1.5,"Poor","redDelicious.jpg",19,1,2,55
"Red Delicious",1.5,"Average","redDelicious.jpg",19,1,3,55
"Fuji",3.5,"Excellent","fuji.jpg",19,2,1,56
"Fuji",3.5,"Average","fuji.jpg",19,2,2,56
"Gala",2,"Poor","gala.jpg",19,2,3,56
"Honeycrisp",4,"Excellent","honeycrisp.jpg",19,3,1,57
"Red Delicious",3.5,"Excellent","redDelicious.jpg",19,3,2,57
"Fuji",1.5,"Average","fuji.jpg",19,3,3,57
"Red Delicious",2,"Excellent","redDelicious.jpg",20,1,1,58
"Pink Lady",3,"Poor","pinkLady.jpg",20,1,2,58
"Gala",1,"Poor","gala.jpg",20,1,3,58
"Red Delicious",3.5,"Excellent","redDelicious.jpg",20,2,1,59
"Red Delicious",4,"Poor","redDelicious.jpg",20,2,2,59
"Red Delicious",3,"Average","redDelicious.jpg",20,2,3,59
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",20,3,1,60
"Pink Lady",2.5,"Average","pinkLady.jpg",20,3,2,60
"Gala",2.5,"Average","gala.jpg",20,3,3,60
"Red Delicious",3,"Excellent","redDelicious.jpg",21,1,1,61
"Red Delicious",2,"Excellent","redDelicious.jpg",21,1,2,61
"Red Delicious",2,"Excellent","redDelicious.jpg",21,1,3,61
"Red Delicious",2.5,"Excellent","redDelicious.jpg",21,2,1,62
"Gala",2.5,"Excellent","gala.jpg",21,2,2,62
"Gala",4,"Excellent","gala.jpg",21,2,3,62
"Honeycrisp",2.5,"Average","honeycrisp.jpg",21,3,1,63
"Fuji",1.5,"Poor","fuji.jpg",21,3,2,63
"Red Delicious",1.5,"Average","redDelicious.jpg",21,3,3,63
"Gala",2.5,"Excellent","gala.jpg",22,1,1,64
"Pink Lady",1,"Excellent","pinkLady.jpg",22,1,2,64
"Gala",2,"Poor","gala.jpg",22,1,3,64
"Red Delicious",2.5,"Average","redDelicious.jpg",22,2,1,65
"Gala",1.5,"Average","gala.jpg",22,2,2,65
"Gala",3,"Average","gala.jpg",22,2,3,65
"Red Delicious",1,"Excellent","redDelicious.jpg",22,3,1,66
"Honeycrisp",3,"Poor","honeycrisp.jpg",22,3,2,66
"Fuji",2.5,"Poor","fuji.jpg",22,3,3,66
"Honeycrisp",3,"Poor","honeycrisp.jpg",23,1,1,67
"Honeycrisp",1,"Poor","honeycrisp.jpg",23,1,2,67
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",23,1,3,67
"Pink Lady",1,"Poor","pinkLady.jpg",23,2,1,68
"Gala",3,"Excellent","gala.jpg",23,2,2,68
"Fuji",3,"Poor","fuji.jpg",23,2,3,68
"Fuji",3,"Poor","fuji.jpg",23,3,1,69
"Gala",1,"Poor","gala.jpg",23,3,2,69
"Fuji",2.5,"Excellent","fuji.jpg",23,3,3,69
"Pink Lady",2,"Average","pinkLady.jpg",24,1,1,70
"Fuji",1.5,"Poor","fuji.jpg",24,1,2,70
"Gala",1,"Average","gala.jpg",24,1,3,70
"Gala",1.5,"Poor","gala.jpg",24,2,1,71
"Fuji",4,"Average","fuji.jpg",24,2,2,71
"Red Delicious",4,"Excellent","redDelicious.jpg",24,2,3,71
"Honeycrisp",1,"Poor","honeycrisp.jpg",24,3,1,72
"Fuji",3,"Excellent","fuji.jpg",24,3,2,72
"Pink Lady",2,"Poor","pinkLady.jpg",24,3,3,72
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",25,1,1,73
"Gala",2.5,"Poor","gala.jpg",25,1,2,73
"Pink Lady",2,"Poor","pinkLady.jpg",25,1,3,73
"Fuji",1,"Average","fuji.jpg",25,2,1,74
"Honeycrisp",4,"Poor","honeycrisp.jpg",25,2,2,74
"Fuji",1.5,"Poor","fuji.jpg",25,2,3,74
"Gala",3.5,"Excellent","gala.jpg",25,3,1,75
"Gala",2.5,"Excellent","gala.jpg",25,3,2,75
"Fuji",4,"Poor","fuji.jpg",25,3,3,75
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",26,1,1,76
"Pink Lady",1.5,"Poor","pinkLady.jpg",26,1,2,76
"Pink Lady",1,"Poor","pinkLady.jpg",26,1,3,76
"Gala",3,"Average","gala.jpg",26,2,1,77
"Red Delicious",3.5,"Excellent","redDelicious.jpg",26,2,2,77
"Fuji",2,"Poor","fuji.jpg",26,2,3,77
"Fuji",3,"Poor","fuji.jpg",26,3,1,78
"Red Delicious",1,"Poor","redDelicious.jpg",26,3,2,78
"Fuji",3,"Poor","fuji.jpg",26,3,3,78
"Fuji",1.5,"Average","fuji.jpg",27,1,1,79
"Gala",4,"Average","gala.jpg",27,1,2,79
"Gala",2.5,"Poor","gala.jpg",27,1,3,79
"Honeycrisp",2,"Excellent","honeycrisp.jpg",27,2,1,80
"Fuji",3.5,"Excellent","fuji.jpg",27,2,2,80
"Fuji",2,"Poor","fuji.jpg",27,2,3,80
"Pink Lady",3.5,"Excellent","pinkLady.jpg",27,3,1,81
"Red Delicious",1.5,"Poor","redDelicious.jpg",27,3,2,81
"Pink Lady",2,"Average","pinkLady.jpg",27,3,3,81
"Honeycrisp",1.5,"Average","honeycrisp.jpg",28,1,1,82
"Gala",2,"Poor","gala.jpg",28,1,2,82
"Red Delicious",1,"Average","redDelicious.jpg",28,1,3,82
"Honeycrisp",3.5,"Average","honeycrisp.jpg",28,2,1,83
"Gala",1.5,"Average","gala.jpg",28,2,2,83
"Honeycrisp",3,"Poor","honeycrisp.jpg",28,2,3,83
"Fuji",3.5,"Excellent","fuji.jpg",28,3,1,84
"Pink Lady",3,"Excellent","pinkLady.jpg",28,3,2,84
"Red Delicious",2.5,"Poor","redDelicious.jpg",28,3,3,84
"Fuji",2.5,"Poor","fuji.jpg",29,1,1,85
"Gala",1,"Excellent","gala.jpg",29,1,2,85
"Fuji",3,"Excellent","fuji.jpg",29,1,3,85
"Honeycrisp",3.5,"Average","honeycrisp.jpg",29,2,1,86
"Pink Lady",2.5,"Average","pinkLady.jpg",29,2,2,86
"Red Delicious",3,"Excellent","redDelicious.jpg",29,2,3,86
"Honeycrisp",1,"Average","honeycrisp.jpg",29,3,1,87
"Gala",1.5,"Average","gala.jpg",29,3,2,87
"Red Delicious",3,"Average","redDelicious.jpg",29,3,3,87
"Pink Lady",3.5,"Excellent","pinkLady.jpg",30,1,1,88
"Red Delicious",2,"Average","redDelicious.jpg",30,1,2,88
"Red Delicious",3,"Average","redDelicious.jpg",30,1,3,88
"Honeycrisp",4,"Average","honeycrisp.jpg",30,2,1,89
"Pink Lady",1,"Poor","pinkLady.jpg",30,2,2,89
"Fuji",2.5,"Excellent","fuji.jpg",30,2,3,89
"Gala",3.5,"Poor","gala.jpg",30,3,1,90
"Fuji",2.5,"Average","fuji.jpg",30,3,2,90
"Fuji",2.5,"Poor","fuji.jpg",30,3,3,90
"Fuji",1,"Poor","fuji.jpg",31,1,1,91
"Honeycrisp",2,"Poor","honeycrisp.jpg",31,1,2,91
"Honeycrisp",1,"Average","honeycrisp.jpg",31,1,3,91
"Fuji",1.5,"Average","fuji.jpg",31,2,1,92
"Pink Lady",1,"Excellent","pinkLady.jpg",31,2,2,92
"Red Delicious",1,"Excellent","redDelicious.jpg",31,2,3,92
"Red Delicious",1,"Excellent","redDelicious.jpg",31,3,1,93
"Honeycrisp",2,"Average","honeycrisp.jpg",31,3,2,93
"Red Delicious",1,"Excellent","redDelicious.jpg",31,3,3,93
"Gala",2.5,"Average","gala.jpg",32,1,1,94
"Fuji",2,"Average","fuji.jpg",32,1,2,94
"Pink Lady",4,"Poor","pinkLady.jpg",32,1,3,94
"Red Delicious",1,"Excellent","redDelicious.jpg",32,2,1,95
"Honeycrisp",1,"Average","honeycrisp.jpg",32,2,2,95
"Fuji",3,"Poor","fuji.jpg",32,2,3,95
"Fuji",2.5,"Average","fuji.jpg",32,3,1,96
"Gala",2.5,"Average","gala.jpg",32,3,2,96
"Pink Lady",3.5,"Average","pinkLady.jpg",32,3,3,96
"Pink Lady",2.5,"Excellent","pinkLady.jpg",33,1,1,97
"Honeycrisp",2,"Average","honeycrisp.jpg",33,1,2,97
"Red Delicious",3,"Excellent","redDelicious.jpg",33,1,3,97
"Gala",3.5,"Excellent","gala.jpg",33,2,1,98
"Pink Lady",1,"Excellent","pinkLady.jpg",33,2,2,98
"Gala",2,"Excellent","gala.jpg",33,2,3,98
"Fuji",4,"Average","fuji.jpg",33,3,1,99
"Honeycrisp",2.5,"Average","honeycrisp.jpg",33,3,2,99
"Honeycrisp",1.5,"Poor","honeycrisp.jpg",33,3,3,99
"Pink Lady",4,"Average","pinkLady.jpg",34,1,1,100
"Fuji",2,"Poor","fuji.jpg",34,1,2,100
"Honeycrisp",3,"Average","honeycrisp.jpg",34,1,3,100
"Pink Lady",2,"Average","pinkLady.jpg",34,2,1,101
"Gala",3,"Average","gala.jpg",34,2,2,101
"Honeycrisp",3.5,"Excellent","honeycrisp.jpg",34,2,3,101
"Pink Lady",3,"Poor","pinkLady.jpg",34,3,1,102
"Gala",3.5,"Poor","gala.jpg",34,3,2,102
"Honeycrisp",2,"Excellent","honeycrisp.jpg",34,3,3,102
"Gala",2.5,"Excellent","gala.jpg",35,1,1,103
"Honeycrisp",3,"Excellent","honeycrisp.jpg",35,1,2,103
"Gala",2.5,"Excellent","gala.jpg",35,1,3,103
"Honeycrisp",3,"Poor","honeycrisp.jpg",35,2,1,104
"Pink Lady",1,"Average","pinkLady.jpg",35,2,2,104
"Fuji",1,"Poor","fuji.jpg",35,2,3,104
"Fuji",1,"Average","fuji.jpg",35,3,1,105
"Pink Lady",3,"Poor","pinkLady.jpg",35,3,2,105
"Red Delicious",3,"Average","redDelicious.jpg",35,3,3,105
"Honeycrisp",2.5,"Average","honeycrisp.jpg",36,1,1,106
"Gala",1,"Average","gala.jpg",36,1,2,106
"Pink Lady",2.5,"Average","pinkLady.jpg",36,1,3,106
"Pink Lady",2,"Excellent","pinkLady.jpg",36,2,1,107
"Honeycrisp",3,"Poor","honeycrisp.jpg",36,2,2,107
"Pink Lady",2.5,"Average","pinkLady.jpg",36,2,3,107
"Gala",2,"Poor","gala.jpg",36,3,1,108
"Fuji",1,"Poor","fuji.jpg",36,3,2,108
"Gala",1.5,"Poor","gala.jpg",36,3,3,108
"Red Delicious",3.5,"Poor","redDelicious.jpg",37,1,1,109
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",37,1,2,109
"Pink Lady",2,"Poor","pinkLady.jpg",37,1,3,109
"Fuji",4,"Average","fuji.jpg",37,2,1,110
"Gala",3.5,"Poor","gala.jpg",37,2,2,110
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",37,2,3,110
"Honeycrisp",1,"Poor","honeycrisp.jpg",37,3,1,111
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",37,3,2,111
"Red Delicious",4,"Average","redDelicious.jpg",37,3,3,111
"Honeycrisp",2,"Average","honeycrisp.jpg",38,1,1,112
"Fuji",2.5,"Excellent","fuji.jpg",38,1,2,112
"Pink Lady",4,"Poor","pinkLady.jpg",38,1,3,112
"Gala",2.5,"Excellent","gala.jpg",38,2,1,113
"Honeycrisp",1.5,"Average","honeycrisp.jpg",38,2,2,113
"Gala",3,"Poor","gala.jpg",38,2,3,113
"Pink Lady",2,"Poor","pinkLady.jpg",38,3,1,114
"Honeycrisp",2,"Poor","honeycrisp.jpg",38,3,2,114
"Fuji",4,"Poor","fuji.jpg",38,3,3,114
"Fuji",1,"Excellent","fuji.jpg",39,1,1,115
"Fuji",1.5,"Excellent","fuji.jpg",39,1,2,115
"Fuji",1.5,"Average","fuji.jpg",39,1,3,115
"Red Delicious",1,"Excellent","redDelicious.jpg",39,2,1,116
"Red Delicious",3.5,"Average","redDelicious.jpg",39,2,2,116
"Red Delicious",4,"Excellent","redDelicious.jpg",39,2,3,116
"Honeycrisp",3.5,"Excellent","honeycrisp.jpg",39,3,1,117
"Honeycrisp",1,"Poor","honeycrisp.jpg",39,3,2,117
"Pink Lady",1.5,"Average","pinkLady.jpg",39,3,3,117
"Pink Lady",3.5,"Excellent","pinkLady.jpg",40,1,1,118
"Red Delicious",4,"Excellent","redDelicious.jpg",40,1,2,118
"Gala",4,"Excellent","gala.jpg",40,1,3,118
"Honeycrisp",1,"Average","honeycrisp.jpg",40,2,1,119
"Gala",3,"Average","gala.jpg",40,2,2,119
"Red Delicious",2,"Average","redDelicious.jpg",40,2,3,119
"Red Delicious",4,"Excellent","redDelicious.jpg",40,3,1,120
"Red Delicious",2,"Excellent","redDelicious.jpg",40,3,2,120
"Gala",2.5,"Excellent","gala.jpg",40,3,3,120
"Fuji",2.5,"Poor","fuji.jpg",41,1,1,121
"Fuji",4,"Average","fuji.jpg",41,1,2,121
"Red Delicious",3.5,"Average","redDelicious.jpg",41,1,3,121
"Fuji",1,"Average","fuji.jpg",41,2,1,122
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",41,2,2,122
"Fuji",3,"Excellent","fuji.jpg",41,2,3,122
"Fuji",4,"Poor","fuji.jpg",41,3,1,123
"Pink Lady",2.5,"Poor","pinkLady.jpg",41,3,2,123
"Fuji",3,"Excellent","fuji.jpg",41,3,3,123
"Fuji",2.5,"Poor","fuji.jpg",42,1,1,124
"Pink Lady",2,"Average","pinkLady.jpg",42,1,2,124
"Pink Lady",3,"Excellent","pinkLady.jpg",42,1,3,124
"Pink Lady",2,"Excellent","pinkLady.jpg",42,2,1,125
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",42,2,2,125
"Honeycrisp",2.5,"Poor","honeycrisp.jpg",42,2,3,125
"Fuji",3,"Poor","fuji.jpg",42,3,1,126
"Fuji",3,"Average","fuji.jpg",42,3,2,126
"Gala",3.5,"Poor","gala.jpg",42,3,3,126
"Pink Lady",4,"Excellent","pinkLady.jpg",43,1,1,127
"Gala",4,"Average","gala.jpg",43,1,2,127
"Gala",2,"Poor","gala.jpg",43,1,3,127
"Fuji",3,"Excellent","fuji.jpg",43,2,1,128
"Fuji",1,"Average","fuji.jpg",43,2,2,128
"Pink Lady",2.5,"Excellent","pinkLady.jpg",43,2,3,128
"Fuji",1,"Excellent","fuji.jpg",43,3,1,129
"Gala",2.5,"Poor","gala.jpg",43,3,2,129
"Pink Lady",3,"Excellent","pinkLady.jpg",43,3,3,129
"Pink Lady",4,"Excellent","pinkLady.jpg",44,1,1,130
"Honeycrisp",1.5,"Excellent","honeycrisp.jpg",44,1,2,130
"Fuji",3,"Excellent","fuji.jpg",44,1,3,130
"Fuji",4,"Average","fuji.jpg",44,2,1,131
"Gala",2.5,"Average","gala.jpg",44,2,2,131
"Red Delicious",3.5,"Excellent","redDelicious.jpg",44,2,3,131
"Honeycrisp",1,"Excellent","honeycrisp.jpg",44,3,1,132
"Fuji",2,"Average","fuji.jpg",44,3,2,132
"Fuji",4,"Average","fuji.jpg",44,3,3,132
"Gala",2,"Average","gala.jpg",45,1,1,133
"Pink Lady",1,"Average","pinkLady.jpg",45,1,2,133
"Fuji",3.5,"Poor","fuji.jpg",45,1,3,133
"Fuji",4,"Excellent","fuji.jpg",45,2,1,134
"Pink Lady",2,"Poor","pinkLady.jpg",45,2,2,134
"Gala",2.5,"Average","gala.jpg",45,2,3,134
"Pink Lady",1,"Average","pinkLady.jpg",45,3,1,135
"Honeycrisp",4,"Excellent","honeycrisp.jpg",45,3,2,135
"Honeycrisp",3,"Excellent","honeycrisp.jpg",45,3,3,135
"Honeycrisp",2.5,"Average","honeycrisp.jpg",46,1,1,136
"Fuji",2.5,"Poor","fuji.jpg",46,1,2,136
"Red Delicious",3,"Poor","redDelicious.jpg",46,1,3,136
"Red Delicious",4,"Excellent","redDelicious.jpg",46,2,1,137
"Gala",4,"Average","gala.jpg",46,2,2,137
"Fuji",2.5,"Average","fuji.jpg",46,2,3,137
"Honeycrisp",3,"Average","honeycrisp.jpg",46,3,1,138
"Gala",1,"Poor","gala.jpg",46,3,2,138
"Pink Lady",1.5,"Average","pinkLady.jpg",46,3,3,138
"Red Delicious",1.5,"Excellent","redDelicious.jpg",47,1,1,139
"Red Delicious",3.5,"Poor","redDelicious.jpg",47,1,2,139
"Pink Lady",2.5,"Excellent","pinkLady.jpg",47,1,3,139
"Fuji",2.5,"Poor","fuji.jpg",47,2,1,140
"Red Delicious",1.5,"Average","redDelicious.jpg",47,2,2,140
"Pink Lady",2,"Average","pinkLady.jpg",47,2,3,140
"Fuji",3,"Poor","fuji.jpg",47,3,1,141
"Pink Lady",2,"Poor","pinkLady.jpg",47,3,2,141
"Honeycrisp",1,"Average","honeycrisp.jpg",47,3,3,141
"Gala",3,"Poor","gala.jpg",48,1,1,142
"Fuji",3.5,"Excellent","fuji.jpg",48,1,2,142
"Fuji",1.5,"Average","fuji.jpg",48,1,3,142
"Honeycrisp",2.5,"Average","honeycrisp.jpg",48,2,1,143
"Honeycrisp",4,"Average","honeycrisp.jpg",48,2,2,143
"Fuji",2.5,"Average","fuji.jpg",48,2,3,143
"Pink Lady",4,"Excellent","pinkLady.jpg",48,3,1,144
"Gala",1.5,"Excellent","gala.jpg",48,3,2,144
"Red Delicious",3.5,"Poor","redDelicious.jpg",48,3,3,144
